chunk_id,human_label,stratum
dn0wfwl_0,neutral,medium_singlish
vly7zn_3,negative,medium_singlish
h15i90o_0,negative,high_singlish
e17ahqc_0,neutral,high_singlish
mpg7yb3_0,negative,model_disagree
k4dxnxm_0,positive,high_singlish
i4wefgk_2,negative,model_disagree
gm7mgja_0,neutral,high_singlish
igvjuqs_1,positive,medium_singlish
j41fcjf_0,positive,medium_singlish
jogjl9q_0,neutral,high_singlish
hcmydxz_0,positive,high_singlish
hbzxdl0_0,neutral,high_conf_english
fynhs1z_0,neutral,high_singlish
kxhaa87_0,neutral,model_disagree
nvgunyn_0,negative,model_disagree
jp7wk48_0,neutral,high_singlish
msa5q08_0,negative,medium_singlish
ji5hqzl_0,neutral,high_singlish
g4g0rfe_0,neutral,medium_singlish
jjoxfeg_0,neutral,medium_singlish
dgwgcq9_0,negative,high_singlish
dtm4f9m_0,positive,medium_singlish
ge8a6x0_0,neutral,high_singlish
if0va2o_0,neutral,high_singlish
doba8an_0,neutral,high_singlish
jtixz63_0,neutral,high_singlish
eiqc3lo_0,positive,high_conf_english
hduiyei_0,neutral,medium_singlish
i9h2a95_0,neutral,high_conf_english
jqvnd28_0,positive,high_singlish
e9buyxq_0,neutral,high_singlish
dn0wkos_0,neutral,medium_singlish
nbyf3mx_0,neutral,model_disagree
gjj04th_0,neutral,medium_singlish
gvmyg4z_0,negative,medium_singlish
ecy7hp2_0,neutral,high_singlish
f1lwt1e_7,neutral,high_conf_english
h9sla5y_0,neutral,high_singlish
m5b1j7f_0,neutral,high_singlish
lf6adbz_0,negative,medium_singlish
mswtq2y_1,negative,medium_singlish
gxk7rja_0,negative,high_conf_english
e6ugvrl_1,negative,high_singlish
jdzdmr0_0,neutral,medium_singlish
jz68okm_0,neutral,medium_singlish
dn12x6d_0,negative,high_singlish
kt8f4q2_0,neutral,medium_singlish
mt9qinv_0,positive,medium_singlish
k5cfjqo_0,neutral,high_singlish
h19hf61_0,neutral,high_conf_english
ficdf44_0,neutral,high_conf_english
ibgfmov_0,negative,model_disagree
hk04a4n_4,neutral,high_conf_english
m3pjbbd_0,negative,high_conf_english
irwmstt_0,neutral,high_conf_english
jvp74bw_0,negative,high_singlish
h3hte3q_0,neutral,high_conf_english
h5zgip4_1,positive,model_disagree
nq5ajgn_0,negative,high_singlish
gdjhwwn_0,negative,medium_singlish
nehelfe_0,neutral,high_conf_english
lq6ov6_0,neutral,medium_singlish
jeiy2lw_1,negative,medium_singlish
fyg4rce_0,negative,medium_singlish
ikb8qa4_0,negative,model_disagree
it25du6_0,negative,medium_singlish
jbngl7d_0,positive,high_conf_english
gqes91p_0,negative,high_singlish
ds4lpyy_0,positive,high_singlish
g7vifl5_2,neutral,model_disagree
f5rwc6v_0,neutral,model_disagree
h2phejz_0,positive,high_singlish
i5l8lbe_0,positive,high_singlish
iix1q2f_0,negative,medium_singlish
kxz9wk3_0,neutral,high_singlish
neiceiv_1,neutral,high_conf_english
huscs42_0,neutral,medium_singlish
i798gsb_0,positive,model_disagree
